model,benchmark,pair_type,records,source_videos,positive_complementarity,joint_worse_than_best_singleton,both_help_but_joint_worse,complementary_rescue,destructive_interference,both_singletons_correct_joint_wrong,mean_joint_penalty_vs_best
qwen3_vl_4b,lvbench,evidence_boundary,1500,103,0.466,0.6253333333333333,0.15066666666666667,0.020666666666666667,0.054,0.010666666666666666,0.42858704318743823
qwen3_vl_4b,lvbench,evidence_evidence,1500,103,0.418,0.6106666666666667,0.19333333333333333,0.016666666666666666,0.04466666666666667,0.006,0.30293978445061637
qwen3_vl_4b,lvbench,evidence_outside,1500,103,0.47933333333333333,0.6806666666666666,0.12133333333333333,0.016,0.056,0.008666666666666666,0.5392516987793532
qwen3_vl_4b,lvbench,outside_outside,1500,103,0.48533333333333334,0.7293333333333333,0.10666666666666667,0.006666666666666667,0.06133333333333333,0.010666666666666666,0.5079623818680334
qwen3_vl_4b,nextgqa,boundary_outside,1500,384,0.488,0.7153333333333334,0.136,0.009333333333333334,0.050666666666666665,0.01,0.8464479892760646
qwen3_vl_4b,nextgqa,evidence_boundary,1500,384,0.4573333333333333,0.682,0.14866666666666667,0.008,0.05266666666666667,0.008,0.7413818134968109
qwen3_vl_4b,nextgqa,evidence_evidence,1500,384,0.44266666666666665,0.6133333333333333,0.18133333333333335,0.011333333333333334,0.04,0.004666666666666667,0.4898406113775562
qwen3_vl_4b,nextgqa,evidence_outside,1500,384,0.49933333333333335,0.672,0.118,0.012,0.056666666666666664,0.01,0.7982404987051221
qwen3_vl_4b,nextgqa,outside_outside,1500,384,0.49,0.7353333333333333,0.114,0.011333333333333334,0.059333333333333335,0.007333333333333333,0.7729489736167982
videollama3_7b,herbench,boundary_outside,1500,49,0.5,0.694,0.10466666666666667,0.008,0.04133333333333333,0.006666666666666667,0.09033041340112687
videollama3_7b,herbench,evidence_boundary,1500,49,0.49533333333333335,0.7346666666666667,0.11,0.006666666666666667,0.050666666666666665,0.006,0.1006456374352177
videollama3_7b,herbench,evidence_evidence,1500,49,0.4746666666666667,0.7253333333333334,0.10666666666666667,0.009333333333333334,0.06066666666666667,0.009333333333333334,0.12116146958371003
videollama3_7b,herbench,evidence_outside,1500,49,0.49066666666666664,0.706,0.09666666666666666,0.010666666666666666,0.050666666666666665,0.009333333333333334,0.10227558973183234
videollama3_7b,herbench,outside_outside,1500,49,0.49333333333333335,0.7073333333333334,0.09266666666666666,0.008666666666666666,0.035333333333333335,0.004,0.09130049143731594
videollama3_7b,lvbench,boundary_outside,1500,103,0.49666666666666665,0.6913333333333334,0.096,0.008666666666666666,0.056,0.004666666666666667,0.1677088836270074
videollama3_7b,lvbench,evidence_boundary,1500,103,0.43666666666666665,0.648,0.152,0.008,0.042,0.005333333333333333,0.12263550421098868
