model,benchmark,cluster_fraction,clusters_total,clusters_per_subsample,full_sample_estimate,subsample_mean,subsample_ci_low,subsample_ci_high,fraction_subsamples_positive,subsample_draws
internvl35_8b,lvbench,0.75,103,78,0.7365071602927543,0.7357038051461599,0.6434526659996284,0.8234345552730844,1.0,2000
internvl35_8b,lvbench,1.0,103,103,0.7365071602927543,0.7365071602927545,0.7365071602927543,0.7365071602927543,1.0,2000
internvl35_8b,nextgqa,0.25,384,96,0.37480160527233447,0.376312166672216,0.2508348531789744,0.5133998774822831,1.0,2000
internvl35_8b,nextgqa,0.5,384,192,0.37480160527233447,0.3740933564914211,0.29918192842282076,0.44985804129292667,1.0,2000
internvl35_8b,nextgqa,0.75,384,288,0.37480160527233447,0.37497536341805676,0.32900801722531337,0.4138552552839527,1.0,2000
internvl35_8b,nextgqa,1.0,384,384,0.37480160527233447,0.3748016052723344,0.37480160527233447,0.37480160527233447,1.0,2000
perception_lm_8b,herbench,0.25,49,13,0.2523201913873312,0.25167051651059497,0.16970696470751837,0.352252035172285,1.0,2000
perception_lm_8b,herbench,0.5,49,25,0.2523201913873312,0.2516594866609104,0.19795049598251022,0.3024054195692531,1.0,2000
perception_lm_8b,herbench,0.75,49,37,0.2523201913873312,0.25227236774345646,0.21495769296233858,0.2807721604652784,1.0,2000
perception_lm_8b,herbench,1.0,49,49,0.2523201913873312,0.2523201913873311,0.2523201913873312,0.2523201913873312,1.0,2000
perception_lm_8b,lvbench,0.25,103,26,0.7387685211099061,0.7384272928534975,0.483695699351399,1.0351128899373299,1.0,2000
perception_lm_8b,lvbench,0.5,103,52,0.7387685211099061,0.7397141956838078,0.5880619407030269,0.8966893403082355,1.0,2000
perception_lm_8b,lvbench,0.75,103,78,0.7387685211099061,0.7381951985268981,0.6424265650671044,0.8260113894586946,1.0,2000
perception_lm_8b,lvbench,1.0,103,103,0.7387685211099061,0.7387685211099058,0.7387685211099061,0.7387685211099061,1.0,2000
perception_lm_8b,nextgqa,0.25,384,96,0.43794715418534375,0.4372953933856247,0.2877464263150907,0.5989524733381341,1.0,2000
perception_lm_8b,nextgqa,0.5,384,192,0.43794715418534375,0.43770024938944324,0.3432052750511083,0.5270885983437721,1.0,2000
perception_lm_8b,nextgqa,0.75,384,288,0.43794715418534375,0.4379516315974829,0.3812197428806144,0.4887457393524115,1.0,2000
perception_lm_8b,nextgqa,1.0,384,384,0.43794715418534375,0.4379471541853439,0.43794715418534375,0.43794715418534375,1.0,2000
qwen3_vl_32b,herbench,0.25,49,13,0.5684823142057747,0.5666495458684289,0.4219677226298769,0.7204980055592297,1.0,2000
qwen3_vl_32b,herbench,0.5,49,25,0.5684823142057747,0.5680372894753146,0.4817976523591051,0.6567566235698349,1.0,2000
qwen3_vl_32b,herbench,0.75,49,37,0.5684823142057747,0.56840550030738,0.5172412479453498,0.6167458831259024,1.0,2000
qwen3_vl_32b,herbench,1.0,49,49,0.5684823142057747,0.5684823142057747,0.5684823142057747,0.5684823142057747,1.0,2000
qwen3_vl_32b,lvbench,0.25,103,26,2.2985378275066455,2.30153149889647,1.617088998237371,3.0081374536951366,1.0,2000
qwen3_vl_32b,lvbench,0.5,103,52,2.2985378275066455,2.3004248954248605,1.8988425560731952,2.6999390735481676,1.0,2000
qwen3_vl_32b,lvbench,0.75,103,78,2.2985378275066455,2.2978049058544254,2.056173173494732,2.509153414916995,1.0,2000
qwen3_vl_32b,lvbench,1.0,103,103,2.2985378275066455,2.298537827506645,2.2985378275066455,2.2985378275066455,1.0,2000
qwen3_vl_32b,nextgqa,0.25,384,96,0.9401569903364483,0.9377394165547787,0.6645811656643797,1.217938331371638,1.0,2000
qwen3_vl_32b,nextgqa,0.5,384,192,0.9401569903364483,0.9381695708390175,0.7789718361930756,1.1065060267903732,1.0,2000
qwen3_vl_32b,nextgqa,0.75,384,288,0.9401569903364483,0.9409266096524173,0.847958530822895,1.02820350278373,1.0,2000
qwen3_vl_32b,nextgqa,1.0,384,384,0.9401569903364483,0.940156990336448,0.9401569903364483,0.9401569903364483,1.0,2000
qwen3_vl_4b,herbench,0.25,49,13,0.5517616841535764,0.5545105565455547,0.3934125282904596,0.7257693805842116,1.0,2000
qwen3_vl_4b,herbench,0.5,49,25,0.5517616841535764,0.5512149242574039,0.44753055324255236,0.6518307796303152,1.0,2000
qwen3_vl_4b,herbench,0.75,49,37,0.5517616841535764,0.5517536928055539,0.4912721548776379,0.6079143315076166,1.0,2000
qwen3_vl_4b,herbench,1.0,49,49,0.5517616841535764,0.5517616841535764,0.5517616841535764,0.5517616841535764,1.0,2000
qwen3_vl_4b,lvbench,0.25,103,26,1.7448610570440168,1.7358168093039856,1.1831376257380144,2.3449032781117842,1.0,2000
qwen3_vl_4b,lvbench,0.5,103,52,1.7448610570440168,1.7484147552472846,1.4139450295608795,2.07154513236388,1.0,2000
qwen3_vl_4b,lvbench,0.75,103,78,1.7448610570440168,1.7459082654684905,1.5491233000544822,1.9290081138485515,1.0,2000
qwen3_vl_4b,lvbench,1.0,103,103,1.7448610570440168,1.7448610570440162,1.7448610570440168,1.7448610570440168,1.0,2000
qwen3_vl_4b,nextgqa,0.25,384,96,0.9495025543584656,0.9454857162052601,0.6604307568655621,1.2454322354469338,1.0,2000
qwen3_vl_4b,nextgqa,0.5,384,192,0.9495025543584656,0.9502958105421124,0.7827627369235622,1.1280740305188033,1.0,2000
qwen3_vl_4b,nextgqa,0.75,384,288,0.9495025543584656,0.948147437771528,0.8454613383985856,1.0407295616557102,1.0,2000
qwen3_vl_4b,nextgqa,1.0,384,384,0.9495025543584656,0.9495025543584656,0.9495025543584656,0.9495025543584656,1.0,2000
videollama3_7b,herbench,0.25,49,13,0.02925011981479687,0.029261102674942804,0.01157972276170709,0.05526597324974171,1.0,2000
videollama3_7b,herbench,0.5,49,25,0.02925011981479687,0.02911934848536948,0.01677281776502749,0.04165089710061099,1.0,2000
videollama3_7b,herbench,0.75,49,37,0.02925011981479687,0.029202594416843565,0.020685769447860235,0.03524883493753275,1.0,2000
videollama3_7b,herbench,1.0,49,49,0.02925011981479687,0.029250119814796863,0.02925011981479687,0.02925011981479687,1.0,2000
videollama3_7b,lvbench,0.25,103,26,0.25120623138043197,0.25207146031655703,0.17144825835341546,0.3315778874113581,1.0,2000
videollama3_7b,lvbench,0.5,103,52,0.25120623138043197,0.2512560797792792,0.205083723816889,0.2981650218497865,1.0,2000
videollama3_7b,lvbench,0.75,103,78,0.25120623138043197,0.25131808914372145,0.2229244859345117,0.27724512948156677,1.0,2000
videollama3_7b,lvbench,1.0,103,103,0.25120623138043197,0.25120623138043197,0.25120623138043197,0.25120623138043197,1.0,2000
videollama3_7b,nextgqa,0.25,384,96,0.09113231502353165,0.09087083099083113,0.05311659111718689,0.1338714865507225,1.0,2000
videollama3_7b,nextgqa,0.5,384,192,0.09113231502353165,0.09168421263546109,0.06841088216045102,0.11515730823897748,1.0,2000
videollama3_7b,nextgqa,0.75,384,288,0.09113231502353165,0.090780002759597,0.07662868422406591,0.1027682672212837,1.0,2000
videollama3_7b,nextgqa,1.0,384,384,0.09113231502353165,0.09113231502353167,0.09113231502353165,0.09113231502353165,1.0,2000
