model,benchmark,specification,estimand,records,source_video_clusters,coefficient,cluster_se,ci_low,ci_high,p_two_sided,predictor_scale,raw_gap,main_abs_sum_gap,outside_support_low,outside_support_high,p_bh_within_specification
internvl35_38b,nextgqa,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.46372546522014774,0.047901618728456906,0.3695423950572598,0.5579085353830358,5.679597586332898e-20,0.5,0.4637254652201476,1.2782777885783196,0.047470841402132466,7.39405869135753,3.407758551799739e-19
internvl35_38b,nextgqa,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.05776693714579123,0.023623892835155803,0.01131817788721868,0.10421569640436379,0.014923732993793647,0.5,0.4637254652201476,1.2782777885783196,0.047470841402132466,7.39405869135753,0.03357839923603571
internvl35_38b,nextgqa,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.06004634950567281,0.01878201585964881,0.023117578318679506,0.09697512069266612,0.001503957281190011,0.5,0.4637254652201476,1.2782777885783196,0.047470841402132466,7.39405869135753,0.001933659361530014
internvl35_38b,nextgqa,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.06549846221315724,0.020348093134153162,0.025490505609460597,0.10550641881685388,0.0013965624337820232,0.5,0.4637254652201476,1.2782777885783196,0.047470841402132466,7.39405869135753,0.0025138123808076417
internvl35_38b,nextgqa,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2827,384,0.07207921679257966,0.017268016394528716,0.03812723682131348,0.10603119676384584,3.7053401473530696e-05,0.4996004060955035,0.4637254652201476,1.2782777885783196,0.047470841402132466,7.39405869135753,8.321141388511825e-05
internvl35_8b,herbench,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.20466494830507612,0.021157025408779045,0.16212589771218922,0.24720399889796302,7.42070461497289e-13,0.5,0.2046649483050763,0.7387388207202361,0.050184100568294525,4.1979728070832785,8.348292691844501e-13
internvl35_8b,herbench,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.056738190765481034,0.021977757257973123,0.012548948192318221,0.10092743333864385,0.012942818451098632,0.5,0.2046649483050763,0.7387388207202361,0.050184100568294525,4.1979728070832785,0.03328153315996791
internvl35_8b,herbench,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.06914999983129383,0.01697502938770817,0.03501941578237426,0.1032805838802134,0.00017256061273065572,0.5,0.2046649483050763,0.7387388207202361,0.050184100568294525,4.1979728070832785,0.000282371911741073
internvl35_8b,herbench,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.05882920109004616,0.018113769616789763,0.022409026359964154,0.09524937582012817,0.00212557242904207,0.5,0.2046649483050763,0.7387388207202361,0.050184100568294525,4.1979728070832785,0.0031883586435631057
internvl35_8b,herbench,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2877,49,0.07147677592049126,0.015064899258984871,0.041186765894375546,0.10176678594660697,1.912781606574131e-05,0.4998801071025966,0.2046649483050763,0.7387388207202361,0.050184100568294525,4.1979728070832785,4.918581274047766e-05
internvl35_8b,lvbench,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.7017817608306989,0.07482142637496103,0.5533738163820606,0.8501897052793371,1.9243620764541456e-15,0.5,0.7017817608306989,1.9674108805091886,0.03952218893915415,7.027106202629293,2.8865431146812185e-15
internvl35_8b,lvbench,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.03600537027749798,0.023218263459619568,-0.010047945205166976,0.08205868576016292,0.1240625613291837,0.5,0.7017817608306989,1.9674108805091886,0.03952218893915415,7.027106202629293,0.14887507359502045
