experiment,model,benchmark,contrast,clusters,estimate,ci_low,ci_high,p_two_sided,draws,p_bh_within_experiment
e3,videollama3_7b,lvbench,evidence_minus_outside_utility,103,0.23728075498426168,0.1837549898922939,0.2928699269195015,9.999000099990002e-05,10000,0.00011998800119988002
e3,videollama3_7b,nextgqa,evidence_minus_outside_utility,384,0.10283172992496004,0.07636739577078179,0.13174672439736745,9.999000099990002e-05,10000,0.00011998800119988002
e4,internvl35_38b,herbench,evidence_minus_outside_absolute_interaction,49,0.26191540926341944,0.2110556687505828,0.31817143988896524,9.999000099990002e-05,10000,0.00011998800119988002
e4,internvl35_38b,herbench,evidence_minus_outside_signed_interaction,49,0.0073677120216611835,-0.06325310117918123,0.07089829807280834,0.8327167283271673,10000,0.8327167283271673
e4,internvl35_38b,lvbench,evidence_minus_outside_absolute_interaction,103,0.684295066227474,0.5562431158375613,0.826015522811723,9.999000099990002e-05,10000,0.00011998800119988002
e4,internvl35_38b,lvbench,evidence_minus_outside_signed_interaction,103,-0.48249154229009233,-0.6365862918136629,-0.3441081081857547,9.999000099990002e-05,10000,0.00011998800119988002
e4,internvl35_38b,nextgqa,evidence_minus_outside_absolute_interaction,384,0.4743667843883901,0.38904332784343687,0.5652987290910015,9.999000099990002e-05,10000,0.00011998800119988002
e4,internvl35_38b,nextgqa,evidence_minus_outside_signed_interaction,384,-0.37477650737667206,-0.487372046059639,-0.2673350459895064,9.999000099990002e-05,10000,0.00011998800119988002
e4,internvl35_8b,herbench,evidence_minus_outside_absolute_interaction,49,0.20463654521365582,0.16485232595449925,0.2506900086469955,9.999000099990002e-05,10000,0.00011998800119988002
e4,internvl35_8b,herbench,evidence_minus_outside_signed_interaction,49,-0.013039993496118655,-0.06570595030245861,0.03556385937384979,0.6301369863013698,10000,0.6481409001956947
e4,internvl35_8b,lvbench,evidence_minus_outside_absolute_interaction,103,0.7365071602927543,0.5802108971291257,0.9074791263747727,9.999000099990002e-05,10000,0.00011998800119988002
e4,internvl35_8b,lvbench,evidence_minus_outside_signed_interaction,103,-0.5173237969030888,-0.6848614568364362,-0.35923317345558425,9.999000099990002e-05,10000,0.00011998800119988002
e4,internvl35_8b,nextgqa,evidence_minus_outside_absolute_interaction,384,0.37480160527233447,0.3022604667011375,0.45304194384411245,9.999000099990002e-05,10000,0.00011998800119988002
e4,internvl35_8b,nextgqa,evidence_minus_outside_signed_interaction,384,-0.2526797210608766,-0.35509623487242253,-0.1601589580143211,9.999000099990002e-05,10000,0.00011998800119988002
e4,perception_lm_8b,herbench,evidence_minus_outside_absolute_interaction,49,0.2523201913873312,0.20025953518734205,0.31299118038520707,9.999000099990002e-05,10000,0.00011998800119988002
e4,perception_lm_8b,herbench,evidence_minus_outside_signed_interaction,49,-0.04264012624387001,-0.11010845642834612,0.020390929619943373,0.2121787821217878,10000,0.2314677623146776
e4,perception_lm_8b,lvbench,evidence_minus_outside_absolute_interaction,103,0.7387685211099061,0.5900161103470484,0.9088281251570702,9.999000099990002e-05,10000,0.00011998800119988002
e4,perception_lm_8b,lvbench,evidence_minus_outside_signed_interaction,103,-0.5590904919939904,-0.7361743119561179,-0.3931644592197005,9.999000099990002e-05,10000,0.00011998800119988002
e4,perception_lm_8b,nextgqa,evidence_minus_outside_absolute_interaction,384,0.43794715418534375,0.3483704875980483,0.5353810824122597,9.999000099990002e-05,10000,0.00011998800119988002
e4,perception_lm_8b,nextgqa,evidence_minus_outside_signed_interaction,384,-0.35800147705848023,-0.472097317958947,-0.253552081565193,9.999000099990002e-05,10000,0.00011998800119988002
e4,qwen3_vl_32b,herbench,evidence_minus_outside_absolute_interaction,49,0.5684823142057747,0.4824016010563266,0.6604427510835026,9.999000099990002e-05,10000,0.00011998800119988002
e4,qwen3_vl_32b,herbench,evidence_minus_outside_signed_interaction,49,-0.08242563267308077,-0.19448009469589136,0.024629186582761524,0.1446855314468553,10000,0.16277122287771223
e4,qwen3_vl_32b,lvbench,evidence_minus_outside_absolute_interaction,103,2.2985378275066455,1.906189332525128,2.708869426841665,9.999000099990002e-05,10000,0.00011998800119988002
e4,qwen3_vl_32b,lvbench,evidence_minus_outside_signed_interaction,103,-1.8485240740658855,-2.298428436309218,-1.4281857424030244,9.999000099990002e-05,10000,0.00011998800119988002
e4,qwen3_vl_32b,nextgqa,evidence_minus_outside_absolute_interaction,384,0.9401569903364483,0.7817191712795403,1.1131121904308403,9.999000099990002e-05,10000,0.00011998800119988002
e4,qwen3_vl_32b,nextgqa,evidence_minus_outside_signed_interaction,384,-0.6641247499938102,-0.8690319452989193,-0.46287841832398763,9.999000099990002e-05,10000,0.00011998800119988002
e4,qwen3_vl_4b,herbench,evidence_minus_outside_absolute_interaction,49,0.5517616841535764,0.4527641261569428,0.6527382136522015,9.999000099990002e-05,10000,0.00011998800119988002
e4,qwen3_vl_4b,herbench,evidence_minus_outside_signed_interaction,49,-0.06954787782491277,-0.210672566568192,0.06870265471759851,0.34326567343265674,10000,0.3634577718698719
e4,qwen3_vl_4b,lvbench,evidence_minus_outside_absolute_interaction,103,1.7448610570440168,1.4311228156991775,2.0762542619435655,9.999000099990002e-05,10000,0.00011998800119988002
e4,qwen3_vl_4b,lvbench,evidence_minus_outside_signed_interaction,103,-1.2852562808190953,-1.6550761907758191,-0.9423072762341737,9.999000099990002e-05,10000,0.00011998800119988002
e4,qwen3_vl_4b,nextgqa,evidence_minus_outside_absolute_interaction,384,0.9495025543584656,0.7858810906410951,1.1208938522677796,9.999000099990002e-05,10000,0.00011998800119988002
e4,qwen3_vl_4b,nextgqa,evidence_minus_outside_signed_interaction,384,-0.6588661726374861,-0.8719741273898943,-0.4597948346219323,9.999000099990002e-05,10000,0.00011998800119988002
e4,videollama3_7b,herbench,evidence_minus_outside_absolute_interaction,49,0.02925011981479687,0.017427063307485592,0.04378354406989878,9.999000099990002e-05,10000,0.00011998800119988002
e4,videollama3_7b,herbench,evidence_minus_outside_signed_interaction,49,-0.014402119432773718,-0.03343336899439899,0.0014374696895991842,0.10518948105189481,10000,0.12215552638284559
e4,videollama3_7b,lvbench,evidence_minus_outside_absolute_interaction,103,0.25120623138043197,0.2058038281571222,0.2977720286849522,9.999000099990002e-05,10000,0.00011998800119988002
e4,videollama3_7b,lvbench,evidence_minus_outside_signed_interaction,103,-0.2153844603451927,-0.27128974429621777,-0.1623845026939774,9.999000099990002e-05,10000,0.00011998800119988002
