model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds,candidate_density
perception_lm_8b,lvbench,dino_diversity8,25,0.24,-2.248209883468226,0.06,0.8903223237223109,32.0,0.2940366458892822,32
perception_lm_8b,lvbench,random8,25,0.32,-1.693430707771331,0.055,0.8219352446658432,32.0,0.2940399742126465,32
perception_lm_8b,lvbench,siglip_dino_submodular8,25,0.36,-1.9109380807331764,0.075,0.8258062125406002,32.0,0.2940091609954834,32
perception_lm_8b,lvbench,siglip_relevance8,25,0.32,-1.901179677733453,0.085,0.7870965535220297,32.0,0.2941560363769531,32
perception_lm_8b,lvbench,uniform8,25,0.28,-2.288044863168616,0.06,0.9999997113724596,32.0,0.294222469329834,32
perception_lm_8b,lvbench,aks_fixedk8,25,0.4,-1.52959159784019,0.08,0.7231493974140503,128.0,0.3175471973419189,128
perception_lm_8b,lvbench,bolt_its8,25,0.2,-1.6268749293219298,0.075,0.7404722284130995,128.0,0.2946000576019287,128
perception_lm_8b,lvbench,dino_change8,25,0.32,-2.091659031229792,0.07,0.6440942961629539,128.0,0.2947309875488281,128
perception_lm_8b,lvbench,dino_diversity8,25,0.2,-1.2985566571797245,0.08,0.8831493530994794,128.0,0.2945668792724609,128
perception_lm_8b,lvbench,random8,25,0.32,-1.3684958866983652,0.065,0.7905509508061787,128.0,0.2945260429382324,128
perception_lm_8b,lvbench,siglip_dino_submodular8,25,0.48,-1.3666753547079862,0.08,0.7999997742181907,128.0,0.2945182132720947,128
perception_lm_8b,lvbench,siglip_relevance8,25,0.4,-1.52959159784019,0.08,0.7231493974140503,128.0,0.2947018909454346,128
perception_lm_8b,lvbench,uniform8,25,0.32,-1.7241407028958202,0.06,0.9999997113724596,128.0,0.2945947647094726,128
perception_lm_8b,nextgqa,aks_fixedk8,25,0.72,2.793006841839051,0.345,0.7057788216273643,32.0,0.3196941947937011,32
