model,benchmark,pair_type,cells,mean_interaction,mean_absolute_interaction,score_scale
perception_lm_8b,herbench,boundary_outside,1500,0.0015645385324314,0.3292076660279514,logodds
perception_lm_8b,herbench,evidence_boundary,1500,-0.0473712003491721,0.4117075047669835,logodds
perception_lm_8b,herbench,evidence_evidence,1500,-0.0215095912506803,0.5208491749190726,logodds
perception_lm_8b,herbench,evidence_outside,1500,0.0066824272946881,0.3825791281226168,logodds
perception_lm_8b,herbench,outside_outside,1500,0.0158718963596232,0.273636873765868,logodds
perception_lm_8b,herbench,boundary_outside,1500,-3.997460830105815e-05,0.0374514483411647,probability
perception_lm_8b,herbench,evidence_boundary,1500,-0.0033998196974313,0.0464963031364216,probability
perception_lm_8b,herbench,evidence_evidence,1500,-0.0019459000270116,0.0594379151692407,probability
perception_lm_8b,herbench,evidence_outside,1500,0.0011747524659732,0.0440479535309729,probability
perception_lm_8b,herbench,outside_outside,1500,0.0034785788901112,0.0303002602596247,probability
perception_lm_8b,lvbench,boundary_outside,1500,0.008,0.0906666666666666,accuracy
perception_lm_8b,lvbench,evidence_boundary,1500,-0.0353333333333333,0.1193333333333333,accuracy
perception_lm_8b,lvbench,evidence_evidence,1500,-0.0753333333333333,0.174,accuracy
perception_lm_8b,lvbench,evidence_outside,1500,-0.004,0.0906666666666666,accuracy
perception_lm_8b,lvbench,outside_outside,1500,-0.0073333333333333,0.0753333333333333,accuracy
perception_lm_8b,lvbench,boundary_outside,1500,0.0303416701759604,0.276370885011353,logodds
perception_lm_8b,lvbench,evidence_boundary,1500,-0.2286090847716044,0.57539357160374,logodds
perception_lm_8b,lvbench,evidence_evidence,1500,-0.5499312926930354,0.9187043286813764,logodds
perception_lm_8b,lvbench,evidence_outside,1500,0.0126203185124826,0.3500239322557335,logodds
perception_lm_8b,lvbench,outside_outside,1500,-0.0139207980583837,0.2055713303654236,logodds
perception_lm_8b,lvbench,boundary_outside,1500,0.0038450298303098,0.0341079003580415,probability
perception_lm_8b,lvbench,evidence_boundary,1500,-0.026508867159306,0.0656731273658255,probability
perception_lm_8b,lvbench,evidence_evidence,1500,-0.0659290460814733,0.1054444086557626,probability
perception_lm_8b,lvbench,evidence_outside,1500,-0.0022783411282406,0.0426694240174756,probability
perception_lm_8b,lvbench,outside_outside,1500,-0.0015615871758424,0.0245036016032153,probability
perception_lm_8b,nextgqa,boundary_outside,1500,0.006,0.07,accuracy
perception_lm_8b,nextgqa,evidence_boundary,1500,-0.0206666666666666,0.0886666666666666,accuracy
perception_lm_8b,nextgqa,evidence_evidence,1500,-0.0326666666666666,0.0953333333333333,accuracy
perception_lm_8b,nextgqa,evidence_outside,1500,-0.002,0.074,accuracy
perception_lm_8b,nextgqa,outside_outside,1500,-0.004,0.0626666666666666,accuracy
perception_lm_8b,nextgqa,boundary_outside,1500,-0.0376347096733504,0.4189989921578416,logodds
