model,benchmark,budget,method,metric,source_video_clusters,estimate,ci_low,ci_high,bootstrap_draws
perception_lm_8b,nextgqa,3,singleton,logodds_regret,184,0.17640448778563214,0.1360308502107516,0.2270441974403909,10000
perception_lm_8b,nextgqa,3,singleton,gold_probability_regret,184,0.008599926549319023,0.0056846001265971466,0.012266453876819877,10000
perception_lm_8b,nextgqa,3,singleton,correct,184,0.7758152173913043,0.720108695652174,0.8288043478260869,10000
qwen3_vl_32b,herbench,2,exhaustive,optimal_set_recovered,48,1.0,1.0,1.0,10000
qwen3_vl_32b,herbench,2,exhaustive,logodds_regret,48,0.0,0.0,0.0,10000
qwen3_vl_32b,herbench,2,exhaustive,gold_probability_regret,48,0.0,0.0,0.0,10000
qwen3_vl_32b,herbench,2,exhaustive,correct,48,0.6596478174603174,0.5797098214285715,0.7333717757936509,10000
qwen3_vl_32b,herbench,2,pairwise,optimal_set_recovered,48,1.0,1.0,1.0,10000
qwen3_vl_32b,herbench,2,pairwise,logodds_regret,48,0.0,0.0,0.0,10000
qwen3_vl_32b,herbench,2,pairwise,gold_probability_regret,48,0.0,0.0,0.0,10000
qwen3_vl_32b,herbench,2,pairwise,correct,48,0.6596478174603174,0.5828989955357143,0.7373406498015872,10000
qwen3_vl_32b,herbench,2,singleton,optimal_set_recovered,48,0.48506117724867726,0.427996341765873,0.537720630787037,10000
qwen3_vl_32b,herbench,2,singleton,logodds_regret,48,0.5256023376945149,0.41989147018736267,0.636682737695753,10000
qwen3_vl_32b,herbench,2,singleton,gold_probability_regret,48,0.02673920359481004,0.016842160609157,0.038119971310955375,10000
qwen3_vl_32b,herbench,2,singleton,correct,48,0.6303943452380952,0.5547743055555555,0.7050350322420635,10000
qwen3_vl_32b,herbench,3,exhaustive,optimal_set_recovered,48,1.0,1.0,1.0,10000
qwen3_vl_32b,herbench,3,exhaustive,logodds_regret,48,0.0,0.0,0.0,10000
qwen3_vl_32b,herbench,3,exhaustive,gold_probability_regret,48,0.0,0.0,0.0,10000
qwen3_vl_32b,herbench,3,exhaustive,correct,48,0.6687251984126984,0.5937769717261904,0.7397537409060847,10000
qwen3_vl_32b,herbench,3,pairwise,optimal_set_recovered,48,0.7002810846560847,0.6521566013558201,0.7485289558531746,10000
qwen3_vl_32b,herbench,3,pairwise,logodds_regret,48,0.26818517966851213,0.2055893630653288,0.33554764739737686,10000
qwen3_vl_32b,herbench,3,pairwise,gold_probability_regret,48,0.013923341675905379,0.009075012724065662,0.01938225540748097,10000
qwen3_vl_32b,herbench,3,pairwise,correct,48,0.6506448412698412,0.5780000620039681,0.7203537326388887,10000
qwen3_vl_32b,herbench,3,singleton,optimal_set_recovered,48,0.46742311507936507,0.412803406084656,0.5218147528108465,10000
qwen3_vl_32b,herbench,3,singleton,logodds_regret,48,0.7739673206968689,0.6171213926586379,0.9413117783342615,10000
qwen3_vl_32b,herbench,3,singleton,gold_probability_regret,48,0.03762464089890726,0.024558008661944037,0.05363667918029098,10000
qwen3_vl_32b,herbench,3,singleton,correct,48,0.6346312830687829,0.5565062830687831,0.7098077876984127,10000
qwen3_vl_32b,lvbench,2,exhaustive,optimal_set_recovered,91,1.0,1.0,1.0,10000
qwen3_vl_32b,lvbench,2,exhaustive,logodds_regret,91,0.0,0.0,0.0,10000
qwen3_vl_32b,lvbench,2,exhaustive,gold_probability_regret,91,0.0,0.0,0.0,10000
qwen3_vl_32b,lvbench,2,exhaustive,correct,91,0.6790293040293041,0.6039354395604394,0.7511927655677655,10000
qwen3_vl_32b,lvbench,2,pairwise,optimal_set_recovered,91,1.0,1.0,1.0,10000
qwen3_vl_32b,lvbench,2,pairwise,logodds_regret,91,0.0,0.0,0.0,10000
qwen3_vl_32b,lvbench,2,pairwise,gold_probability_regret,91,0.0,0.0,0.0,10000
qwen3_vl_32b,lvbench,2,pairwise,correct,91,0.6790293040293041,0.6016460622710622,0.7522916666666666,10000
qwen3_vl_32b,lvbench,2,singleton,optimal_set_recovered,91,0.4689560439560439,0.4154761904761905,0.5232623626373626,10000
qwen3_vl_32b,lvbench,2,singleton,logodds_regret,91,0.6142040499232473,0.4307997546739943,0.8811265329376335,10000
qwen3_vl_32b,lvbench,2,singleton,gold_probability_regret,91,0.027866973429850103,0.015301162285745866,0.04421880230950434,10000
qwen3_vl_32b,lvbench,2,singleton,correct,91,0.6484432234432235,0.5674885531135531,0.7271978021978021,10000
qwen3_vl_32b,lvbench,3,exhaustive,optimal_set_recovered,91,1.0,1.0,1.0,10000
qwen3_vl_32b,lvbench,3,exhaustive,logodds_regret,91,0.0,0.0,0.0,10000
qwen3_vl_32b,lvbench,3,exhaustive,gold_probability_regret,91,0.0,0.0,0.0,10000
qwen3_vl_32b,lvbench,3,exhaustive,correct,91,0.6722527472527472,0.5973420329670328,0.7456043956043955,10000
qwen3_vl_32b,lvbench,3,pairwise,optimal_set_recovered,91,0.6563186813186813,0.5965201465201466,0.713830128205128,10000
qwen3_vl_32b,lvbench,3,pairwise,logodds_regret,91,0.24145586458021084,0.1696136644349253,0.32928648828363244,10000
qwen3_vl_32b,lvbench,3,pairwise,gold_probability_regret,91,0.01316513241191294,0.0073698336346505215,0.01977662082447591,10000
qwen3_vl_32b,lvbench,3,pairwise,correct,91,0.6594322344322344,0.5804945054945055,0.7334249084249084,10000
qwen3_vl_32b,lvbench,3,singleton,optimal_set_recovered,91,0.5128205128205128,0.4518315018315019,0.5737179487179487,10000
qwen3_vl_32b,lvbench,3,singleton,logodds_regret,91,0.4549643498930302,0.36216498202039094,0.5527865864008286,10000
qwen3_vl_32b,lvbench,3,singleton,gold_probability_regret,91,0.01741242536862256,0.01154603762658304,0.024272446096130364,10000
qwen3_vl_32b,lvbench,3,singleton,correct,91,0.6665750915750915,0.5896497252747253,0.740201465201465,10000
qwen3_vl_32b,nextgqa,2,exhaustive,optimal_set_recovered,184,1.0,1.0,1.0,10000
qwen3_vl_32b,nextgqa,2,exhaustive,logodds_regret,184,0.0,0.0,0.0,10000
qwen3_vl_32b,nextgqa,2,exhaustive,gold_probability_regret,184,0.0,0.0,0.0,10000
qwen3_vl_32b,nextgqa,2,exhaustive,correct,184,0.8790760869565217,0.8369565217391305,0.9184782608695652,10000
qwen3_vl_32b,nextgqa,2,pairwise,optimal_set_recovered,184,1.0,1.0,1.0,10000
qwen3_vl_32b,nextgqa,2,pairwise,logodds_regret,184,0.0,0.0,0.0,10000
qwen3_vl_32b,nextgqa,2,pairwise,gold_probability_regret,184,0.0,0.0,0.0,10000
qwen3_vl_32b,nextgqa,2,pairwise,correct,184,0.8790760869565217,0.8383152173913043,0.9184782608695652,10000
qwen3_vl_32b,nextgqa,2,singleton,optimal_set_recovered,184,0.5883152173913043,0.5353260869565217,0.6413043478260869,10000
qwen3_vl_32b,nextgqa,2,singleton,logodds_regret,184,0.25399689624723687,0.18852261397862569,0.33013453436010387,10000
qwen3_vl_32b,nextgqa,2,singleton,gold_probability_regret,184,0.013081746154814364,0.006060105537570356,0.022109024088925892,10000
qwen3_vl_32b,nextgqa,2,singleton,correct,184,0.8573369565217391,0.811141304347826,0.8994565217391305,10000
qwen3_vl_32b,nextgqa,3,exhaustive,optimal_set_recovered,184,1.0,1.0,1.0,10000
qwen3_vl_32b,nextgqa,3,exhaustive,logodds_regret,184,0.0,0.0,0.0,10000
qwen3_vl_32b,nextgqa,3,exhaustive,gold_probability_regret,184,0.0,0.0,0.0,10000
qwen3_vl_32b,nextgqa,3,exhaustive,correct,184,0.8695652173913043,0.8247282608695652,0.9103260869565217,10000
qwen3_vl_32b,nextgqa,3,pairwise,optimal_set_recovered,184,0.6734601449275363,0.623641304347826,0.7223731884057972,10000
qwen3_vl_32b,nextgqa,3,pairwise,logodds_regret,184,0.16903565011089364,0.1315583757982601,0.20881134887286684,10000
qwen3_vl_32b,nextgqa,3,pairwise,gold_probability_regret,184,0.004788663790291324,0.0026009441866287337,0.007358042554648945,10000
qwen3_vl_32b,nextgqa,3,pairwise,correct,184,0.8668478260869565,0.8220108695652174,0.907608695652174,10000
qwen3_vl_32b,nextgqa,3,singleton,optimal_set_recovered,184,0.5602355072463768,0.5072463768115941,0.6109601449275363,10000
qwen3_vl_32b,nextgqa,3,singleton,logodds_regret,184,0.303071558036381,0.23856404435570344,0.3745645545835243,10000
qwen3_vl_32b,nextgqa,3,singleton,gold_probability_regret,184,0.0165255704587996,0.008979980192466111,0.025779954896628106,10000
qwen3_vl_32b,nextgqa,3,singleton,correct,184,0.8369565217391305,0.7880095108695652,0.8831521739130435,10000
