model,benchmark,budget,contrast,metric,source_video_clusters,estimate,ci_low,ci_high,p_two_sided,bootstrap_draws
internvl35_38b,nextgqa,2,exhaustive_minus_singleton,optimal_set_recovery_gain,184,0.396286231884058,0.34782608695652173,0.4470108695652174,9.999000099990002e-05,10000
internvl35_38b,nextgqa,2,exhaustive_minus_singleton,logodds_regret_reduction,184,0.11670243325896278,0.09250189616663632,0.14347599108603779,9.999000099990002e-05,10000
internvl35_38b,nextgqa,2,exhaustive_minus_singleton,gold_probability_regret_reduction,184,0.008752432241751503,0.00555068643983904,0.01269006186352401,9.999000099990002e-05,10000
internvl35_38b,nextgqa,2,exhaustive_minus_singleton,accuracy_gain,184,0.009510869565217392,0.001358695652173913,0.020380434782608696,0.1287871212878712,10000
internvl35_38b,nextgqa,2,exhaustive_minus_pairwise,optimal_set_recovery_gain,184,0.0,0.0,0.0,1.0,10000
internvl35_38b,nextgqa,2,exhaustive_minus_pairwise,logodds_regret_reduction,184,0.0,0.0,0.0,1.0,10000
internvl35_38b,nextgqa,2,exhaustive_minus_pairwise,gold_probability_regret_reduction,184,0.0,0.0,0.0,1.0,10000
internvl35_38b,nextgqa,2,exhaustive_minus_pairwise,accuracy_gain,184,0.0,0.0,0.0,1.0,10000
internvl35_38b,nextgqa,3,pairwise_minus_singleton,optimal_set_recovery_gain,184,0.05751811594202898,-0.019021739130434784,0.1358695652173913,0.1426857314268573,10000
internvl35_38b,nextgqa,3,pairwise_minus_singleton,logodds_regret_reduction,184,0.06606289904180777,0.024543797674732214,0.10961801013981091,0.0018998100189981002,10000
internvl35_38b,nextgqa,3,pairwise_minus_singleton,gold_probability_regret_reduction,184,0.005918415866317464,0.001724605437412736,0.011203492489467016,0.008099190080991902,10000
internvl35_38b,nextgqa,3,pairwise_minus_singleton,accuracy_gain,184,0.005434782608695652,-0.005434782608695652,0.016304347826086956,0.6332366763323668,10000
internvl35_38b,nextgqa,3,exhaustive_minus_singleton,optimal_set_recovery_gain,184,0.37907608695652173,0.327445652173913,0.4320652173913043,9.999000099990002e-05,10000
internvl35_38b,nextgqa,3,exhaustive_minus_singleton,logodds_regret_reduction,184,0.14414537445163758,0.10980144850209475,0.18262858260031387,9.999000099990002e-05,10000
internvl35_38b,nextgqa,3,exhaustive_minus_singleton,gold_probability_regret_reduction,184,0.009023445715876518,0.0050285051334451325,0.014084750154343366,9.999000099990002e-05,10000
internvl35_38b,nextgqa,3,exhaustive_minus_singleton,accuracy_gain,184,0.008152173913043478,0.0,0.019021739130434784,0.24767523247675233,10000
internvl35_38b,nextgqa,3,exhaustive_minus_pairwise,optimal_set_recovery_gain,184,0.3215579710144928,0.2717391304347826,0.37137681159420294,9.999000099990002e-05,10000
internvl35_38b,nextgqa,3,exhaustive_minus_pairwise,logodds_regret_reduction,184,0.07808247540982982,0.060171980769237826,0.09751198453992962,9.999000099990002e-05,10000
internvl35_38b,nextgqa,3,exhaustive_minus_pairwise,gold_probability_regret_reduction,184,0.003105029849559053,0.001978739452417972,0.004398877383271662,9.999000099990002e-05,10000
internvl35_38b,nextgqa,3,exhaustive_minus_pairwise,accuracy_gain,184,0.002717391304347826,0.0,0.008152173913043478,1.0,10000
perception_lm_8b,herbench,2,pairwise_minus_singleton,optimal_set_recovery_gain,48,0.4441922949735449,0.3827822213955026,0.5015102099867724,9.999000099990002e-05,10000
perception_lm_8b,herbench,2,pairwise_minus_singleton,logodds_regret_reduction,48,0.24944616254450516,0.1940147706637384,0.3126853345267714,9.999000099990002e-05,10000
perception_lm_8b,herbench,2,pairwise_minus_singleton,gold_probability_regret_reduction,48,0.0262790791074852,0.020058712118110618,0.03320604040004594,9.999000099990002e-05,10000
perception_lm_8b,herbench,2,pairwise_minus_singleton,accuracy_gain,48,0.027893518518518515,0.009027777777777779,0.05023148148148148,0.007399260073992601,10000
perception_lm_8b,herbench,2,exhaustive_minus_singleton,optimal_set_recovery_gain,48,0.4441922949735449,0.38213035300925924,0.5018157862103173,9.999000099990002e-05,10000
perception_lm_8b,herbench,2,exhaustive_minus_singleton,logodds_regret_reduction,48,0.24944616254450516,0.1944552930897568,0.3114824526442255,9.999000099990002e-05,10000
perception_lm_8b,herbench,2,exhaustive_minus_singleton,gold_probability_regret_reduction,48,0.0262790791074852,0.019988917996104718,0.0330919959403137,9.999000099990002e-05,10000
perception_lm_8b,herbench,2,exhaustive_minus_singleton,accuracy_gain,48,0.027893518518518515,0.009027777777777779,0.05104166666666666,0.007599240075992401,10000
perception_lm_8b,herbench,2,exhaustive_minus_pairwise,optimal_set_recovery_gain,48,0.0,0.0,0.0,1.0,10000
perception_lm_8b,herbench,2,exhaustive_minus_pairwise,logodds_regret_reduction,48,0.0,0.0,0.0,1.0,10000
perception_lm_8b,herbench,2,exhaustive_minus_pairwise,gold_probability_regret_reduction,48,0.0,0.0,0.0,1.0,10000
perception_lm_8b,herbench,2,exhaustive_minus_pairwise,accuracy_gain,48,0.0,0.0,0.0,1.0,10000
perception_lm_8b,herbench,3,pairwise_minus_singleton,optimal_set_recovery_gain,48,0.10724619708994709,0.015124421296296302,0.20229083994708996,0.0314968503149685,10000
perception_lm_8b,herbench,3,pairwise_minus_singleton,logodds_regret_reduction,48,0.1873710347959844,0.11257493670289731,0.27025163761091064,9.999000099990002e-05,10000
