model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds
qwen3_vl_4b,lvbench,aks_fixedk8,500,0.398,-0.8057139336830528,0.031,0.7569521578258899,64.0,0.0812413721084594
qwen3_vl_4b,lvbench,bolt_its8,500,0.386,-0.9232539064616446,0.02175,0.7509839051969571,64.0,0.0801080751419067
qwen3_vl_4b,lvbench,dino_change8,500,0.346,-1.1257219111237382,0.02975,0.749841043126204,64.0,0.0802243571281433
qwen3_vl_4b,lvbench,dino_diversity8,500,0.33,-1.4806383573393418,0.038,0.8742537107775693,64.0,0.0802254118919372
qwen3_vl_4b,lvbench,random8,500,0.342,-1.248336784117744,0.029,0.798920398609448,64.0,0.0802957973480224
qwen3_vl_4b,lvbench,siglip_dino_submodular8,500,0.394,-0.7243056192340465,0.027,0.8221267414295176,64.0,0.0803852787017822
qwen3_vl_4b,lvbench,siglip_relevance8,500,0.398,-0.8057139336830528,0.031,0.7569521578258899,64.0,0.0805143241882324
qwen3_vl_4b,lvbench,uniform8,500,0.354,-1.0054090518059633,0.0295,0.99999970532052,64.0,0.0804819393157958
qwen3_vl_32b,lvbench,aks_fixedk8,500,0.436,-0.3967928458587433,0.031,0.7569521578258899,64.0,0.2703189086914062
qwen3_vl_32b,lvbench,bolt_its8,500,0.42,-0.9524770129511504,0.02175,0.7509839051969571,64.0,0.2688616914749145
qwen3_vl_32b,lvbench,dino_change8,500,0.388,-0.939651538826637,0.02975,0.749841043126204,64.0,0.2691123051643371
qwen3_vl_32b,lvbench,dino_diversity8,500,0.386,-1.2283685996859492,0.038,0.8742537107775693,64.0,0.2689724612236023
qwen3_vl_32b,lvbench,random8,500,0.39,-1.0694158455832292,0.029,0.798920398609448,64.0,0.2691783018112182
qwen3_vl_32b,lvbench,siglip_dino_submodular8,500,0.436,-0.4703546134526572,0.027,0.8221267414295176,64.0,0.2692510905265808
qwen3_vl_32b,lvbench,siglip_relevance8,500,0.436,-0.3967928458587433,0.031,0.7569521578258899,64.0,0.2692624526023864
qwen3_vl_32b,lvbench,uniform8,500,0.39,-1.0451673336199416,0.0295,0.99999970532052,64.0,0.2692148394584656
qwen3_vl_4b,nextgqa,aks_fixedk8,495,0.705050505050505,4.400699041317061,0.2974747474747474,0.6071947254030428,64.0,0.0932045411581944
qwen3_vl_4b,nextgqa,bolt_its8,495,0.7373737373737373,4.7282362373893205,0.278030303030303,0.7333081499444606,64.0,0.0920200579094164
qwen3_vl_4b,nextgqa,dino_change8,495,0.7191919191919192,4.429522939482223,0.2558080808080808,0.5467181695927527,64.0,0.0922254928434738
qwen3_vl_4b,nextgqa,dino_diversity8,495,0.7393939393939394,4.691931902695011,0.2358585858585858,0.8364946210308777,64.0,0.0917827172712846
qwen3_vl_4b,nextgqa,random8,495,0.7212121212121212,4.626301393548631,0.2434343434343434,0.7967979017534946,64.0,0.0917200131849809
qwen3_vl_4b,nextgqa,siglip_dino_submodular8,495,0.7292929292929293,4.834111344950648,0.2679292929292929,0.7946494456769818,64.0,0.0918464275321575
qwen3_vl_4b,nextgqa,siglip_relevance8,495,0.705050505050505,4.400699041317061,0.2974747474747474,0.6071947254030428,64.0,0.0917103531384709
qwen3_vl_4b,nextgqa,uniform8,495,0.7333333333333333,4.632769487749669,0.2123737373737373,0.9999652556383334,64.0,0.0916321109039614
internvl35_8b,nextgqa,aks_fixedk8,495,0.7575757575757576,2.834446920005831,0.2974747474747474,0.6071947254030428,64.0,0.1104041200695615
internvl35_8b,nextgqa,bolt_its8,495,0.7878787878787878,2.946708001400885,0.278030303030303,0.7333081499444606,64.0,0.1092687351535065
internvl35_8b,nextgqa,dino_change8,495,0.7696969696969697,2.8009765584812216,0.2558080808080808,0.5467181695927527,64.0,0.1092773495298443
internvl35_8b,nextgqa,dino_diversity8,495,0.7656565656565657,2.764284662667163,0.2358585858585858,0.8364946210308777,64.0,0.1092869744156346
internvl35_8b,nextgqa,random8,495,0.7656565656565657,2.8463417711339543,0.2434343434343434,0.7967979017534946,64.0,0.1092616991563276
internvl35_8b,nextgqa,siglip_dino_submodular8,495,0.7818181818181819,2.878859818465465,0.2679292929292929,0.7946494456769818,64.0,0.1093136315393929
internvl35_8b,nextgqa,siglip_relevance8,495,0.7575757575757576,2.834446920005831,0.2974747474747474,0.6071947254030428,64.0,0.1093157565954959
internvl35_8b,nextgqa,uniform8,495,0.7858585858585858,2.880404359285144,0.2123737373737373,0.9999652556383334,64.0,0.1093262441230542
internvl35_38b,lvbench,aks_fixedk8,500,0.454,-0.4899099066167618,0.031,0.7569521578258899,64.0,0.5763774738311768
internvl35_38b,lvbench,bolt_its8,500,0.416,-0.5723822804064984,0.02175,0.7509839051969571,64.0,0.5746653661727905
internvl35_38b,lvbench,dino_change8,500,0.388,-0.6760033083993694,0.02975,0.749841043126204,64.0,0.5749316630363465
internvl35_38b,lvbench,dino_diversity8,500,0.378,-0.811475201147598,0.038,0.8742537107775693,64.0,0.5749089608192444
internvl35_38b,lvbench,random8,500,0.398,-0.7034110622355983,0.029,0.798920398609448,64.0,0.5747204322814942
internvl35_38b,lvbench,siglip_dino_submodular8,500,0.47,-0.4578816919222872,0.027,0.8221267414295176,64.0,0.5748513021469116
internvl35_38b,lvbench,siglip_relevance8,500,0.454,-0.4899099066167618,0.031,0.7569521578258899,64.0,0.5748862686157227
internvl35_38b,lvbench,uniform8,500,0.404,-0.7381739581503457,0.0295,0.99999970532052,64.0,0.5747377948760987
videollama3_7b,herbench,aks_fixedk8,500,0.308,-1.44278528945148,0.0235,0.7203464129326439,64.0,1.610044131755829
videollama3_7b,herbench,bolt_its8,500,0.308,-1.3939188741594553,0.02925,0.7418065549010474,64.0,1.608727578163147
videollama3_7b,herbench,dino_change8,500,0.298,-1.4194756109416484,0.0395,0.7110765321142989,64.0,1.6079380760192872
videollama3_7b,herbench,dino_diversity8,500,0.286,-1.4339177008867263,0.029,0.8679330637782589,64.0,1.6077032570838927
videollama3_7b,herbench,random8,500,0.312,-1.4045987829118969,0.02775,0.8023142160582445,64.0,1.6078026900291442
videollama3_7b,herbench,siglip_dino_submodular8,500,0.294,-1.433699780806899,0.02325,0.7919651885698539,64.0,1.607146592617035
videollama3_7b,herbench,siglip_relevance8,500,0.308,-1.44278528945148,0.0235,0.7203464129326439,64.0,1.607775716304779
videollama3_7b,herbench,uniform8,500,0.304,-1.4345960970818996,0.02275,0.9999959481990204,64.0,1.6076605706214904
internvl35_8b,lvbench,aks_fixedk8,500,0.372,-0.6709677176665418,0.031,0.7569521578258899,64.0,0.1100090112686157
internvl35_8b,lvbench,bolt_its8,500,0.366,-0.7656761700215993,0.02175,0.7509839051969571,64.0,0.1088961815834045
internvl35_8b,lvbench,dino_change8,500,0.344,-0.8817015303211829,0.02975,0.749841043126204,64.0,0.108904417514801
internvl35_8b,lvbench,dino_diversity8,500,0.338,-1.0065553875008737,0.038,0.8742537107775693,64.0,0.1088949904441833
internvl35_8b,lvbench,random8,500,0.338,-0.9352398323454454,0.029,0.798920398609448,64.0,0.1088949398994445
