model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds,logodds_rank,accuracy_rank
internvl35_38b,videomme,dino_change8,2700,0.5929629629629629,1.4198739554499518,,0.7169096361707167,64.0,0.5759413411882188,8.0,8.0
internvl35_38b,videomme,dino_diversity8,2700,0.6159259259259259,1.483283144241353,,0.8727991443858245,64.0,0.575851793024275,7.0,6.0
internvl35_38b,videomme,random8,2700,0.6114814814814815,1.5191065052457196,,0.8000776091105167,64.0,0.5758474804736949,5.0,7.0
internvl35_38b,videomme,siglip_dino_submodular8,2700,0.6292592592592593,1.672702514981345,,0.8154509198349512,64.0,0.5770700591581839,1.0,2.0
internvl35_38b,videomme,siglip_relevance8,2700,0.6177777777777778,1.6041604580477775,,0.6920951917962167,64.0,0.5760211226675246,3.0,4.0
internvl35_38b,videomme,uniform8,2700,0.62,1.5172422649055968,,0.9999941350954964,64.0,0.5758430244304515,6.0,3.0
internvl35_8b,herbench,aks_fixedk8,1971,0.4530695078640284,-0.5398128679549122,0.0227168949771689,0.7203208688075747,64.0,0.1133360013569871,1.0,6.0
internvl35_8b,herbench,bolt_its8,1971,0.4611872146118721,-0.546602024490393,0.0213470319634703,0.7481124532755875,64.0,0.1131082807683146,3.0,4.0
internvl35_8b,herbench,dino_change8,1971,0.4540842212075088,-0.5931616389249524,0.030593607305936,0.6253735984154533,64.0,0.1131316342975572,8.0,5.0
internvl35_8b,herbench,dino_diversity8,1971,0.4693049213597158,-0.5615371002312536,0.0207762557077625,0.8717134172657633,64.0,0.11313401558023,5.0,1.0
internvl35_8b,herbench,random8,1971,0.4657534246575342,-0.5609403997493209,0.0244292237442922,0.8014409623047865,64.0,0.1131339600580951,4.0,2.0
internvl35_8b,herbench,siglip_dino_submodular8,1971,0.4525621511922881,-0.5718034349257946,0.0248858447488584,0.7915517058917059,64.0,0.1131450833553351,7.0,8.0
internvl35_8b,herbench,siglip_relevance8,1971,0.4530695078640284,-0.5398128679549122,0.0227168949771689,0.7203208688075747,64.0,0.1131300217363811,1.0,6.0
internvl35_8b,herbench,uniform8,1971,0.4627092846270928,-0.5710332087635485,0.0184931506849315,0.9999932425710246,64.0,0.113124264974028,6.0,3.0
internvl35_8b,lvbench,aks_fixedk8,1549,0.4021949644932214,-0.5280488764464261,0.1942382182052937,0.7595271714807882,64.0,0.109558146872622,2.0,1.0
internvl35_8b,lvbench,bolt_its8,1549,0.3886378308586184,-0.6494947620225543,0.1843124596513879,0.751165403565621,64.0,0.1091818323129219,4.0,4.0
internvl35_8b,lvbench,dino_change8,1549,0.3724983860555197,-0.8128088162638344,0.1968205293737895,0.759455434921056,64.0,0.1091551186578207,6.0,5.0
internvl35_8b,lvbench,dino_diversity8,1549,0.3692704970948999,-0.8530866987891972,0.1993221433182698,0.8764689424826209,64.0,0.1091855224907359,7.0,6.0
internvl35_8b,lvbench,random8,1549,0.3595868302130406,-0.7984151835013333,0.190848934796643,0.8037031232524444,64.0,0.1092189441887773,5.0,7.0
internvl35_8b,lvbench,siglip_dino_submodular8,1549,0.4015493867010974,-0.526699157899325,0.1917366042608134,0.8216870708586227,64.0,0.1091965800950879,1.0,3.0
internvl35_8b,lvbench,siglip_relevance8,1549,0.4021949644932214,-0.5280488764464261,0.1942382182052937,0.7595271714807882,64.0,0.1091784890656936,2.0,1.0
