model,benchmark,metric,new_selector,comparator,items,source_video_clusters,equal_video_estimate,ci_low,ci_high,p_two_sided,p_bh_within_metric
internvl35_8b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,uniform8,495,380,-0.012875668898013082,-0.16186957807825256,0.13443393456523745,0.8603139686031397,0.915351943066563
perception_lm_8b,herbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,49,0.3151468969476989,0.11326061247328612,0.5344045513145227,0.006399360063993601,0.030542400305424003
perception_lm_8b,lvbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,103,0.5895950500528874,0.30893402250230034,0.8819089740482129,0.00029997000299970003,0.004319568043195681
perception_lm_8b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,uniform8,495,380,0.20815600974477458,0.043625677049126656,0.3819035127033923,0.0164983501649835,0.04837916208379163
qwen3_vl_32b,herbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,49,0.391134697510757,0.09750106745826252,0.6954690724962208,0.015298470152984701,0.0470952904709529
qwen3_vl_32b,lvbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,103,1.173003341466597,0.6680690161188687,1.7003065390349434,9.999000099990002e-05,0.0017998200179982003
qwen3_vl_32b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,uniform8,495,380,0.38707649991435744,0.07440902227920373,0.7150737726598932,0.016798320167983202,0.04837916208379163
qwen3_vl_4b,herbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,49,0.6110700663696972,0.2398564755852974,0.96798390274597,0.0017998200179982,0.014398560143985599
qwen3_vl_4b,lvbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,103,0.654346001233883,0.23901316514818546,1.094411651778189,0.0033996600339966003,0.0221977802219778
qwen3_vl_4b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,uniform8,495,380,0.5173554716341776,0.21633432709177886,0.8260241757349648,0.0006999300069993001,0.0067193280671932806
videollama3_7b,herbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,49,-0.006412535321548349,-0.04465673783514686,0.03251635695920892,0.748025197480252,0.8481545546232778
videollama3_7b,lvbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,103,0.11335961494608016,0.018799019984520333,0.2093009798272687,0.023497650234976502,0.0615211206152112
