model,benchmark,robustness_condition,pair_type,cells,mean_interaction,mean_absolute_interaction,max_absolute_interaction,source_directory,median_interaction,negative_rate
qwen3_vl_32b,herbench,k16,outside_outside,75,0.0020085772788354,0.2995599790561993,1.0868311002850533,e8_k16_analysis,,
qwen3_vl_32b,herbench,noop,noop,75,0.0,0.0,0.0,e8_analysis,,
qwen3_vl_32b,herbench,reversed,evidence_evidence,75,-0.6034990889159844,1.5703858542824265,10.374534595886873,e8_analysis,,
qwen3_vl_32b,herbench,reversed,outside_outside,75,-0.0552968419017285,0.5757484809934416,2.40832881629467,e8_analysis,,
qwen3_vl_32b,herbench,slot_swap,evidence_evidence,75,-0.7251150213084062,1.2454461093968452,7.030483340844512,e8_analysis,,
qwen3_vl_32b,herbench,slot_swap,outside_outside,75,-0.0968934060819632,0.4422173995474901,2.9005126953125,e8_analysis,,
qwen3_vl_32b,herbench,,boundary_outside,75,0.1506506267853442,0.5821932498613097,,e8_boundary_offset_analysis,-0.0139435231685638,0.5333333333333333
qwen3_vl_32b,herbench,,evidence_boundary,75,-0.0591165169465816,0.7186957386693834,,e8_boundary_offset_analysis,0.0018636584281921,0.4933333333333333
qwen3_vl_32b,herbench,,evidence_evidence,75,-0.2886804941743872,1.0976045315720986,,e8_boundary_offset_analysis,-0.250000693500624,0.6133333333333333
qwen3_vl_32b,herbench,,evidence_outside,75,-0.171738141487652,0.6610680360664569,,e8_boundary_offset_analysis,-0.0688691139198454,0.5466666666666666
qwen3_vl_32b,herbench,,outside_outside,75,-0.0035963174725533,0.4329613303807616,,e8_boundary_offset_analysis,-4.304316098568961e-05,0.5066666666666667
qwen3_vl_32b,lvbench,direct_rgb_png,evidence_evidence,75,-1.7247880185239317,3.651774839876912,21.206892728805546,e8_direct_rgb_analysis,,
qwen3_vl_32b,lvbench,direct_rgb_png,outside_outside,75,0.1534179434897276,0.433473107522929,2.7345896996557717,e8_direct_rgb_analysis,,
qwen3_vl_32b,lvbench,extra_context,evidence_evidence,50,-0.9968108406298642,3.1220123037966165,22.01252069324255,e8_extra_context_analysis,,
qwen3_vl_32b,lvbench,extra_context,outside_outside,50,0.1101375808342982,0.5470501109314774,3.667620772263035,e8_extra_context_analysis,,
qwen3_vl_32b,lvbench,hard_distractor,evidence_evidence,25,-0.0911844339278206,2.9002017828838063,12.315590993152,e8_hard_distractor_analysis,,
qwen3_vl_32b,lvbench,hard_distractor,outside_outside,25,0.3091966412387785,0.9158613516392154,7.372416792029981,e8_hard_distractor_analysis,,
qwen3_vl_32b,lvbench,k16,evidence_evidence,75,-1.1614874661779195,2.4430954763419868,18.38180559873581,e8_k16_analysis,,
qwen3_vl_32b,lvbench,k16,outside_outside,75,0.0460175453715476,0.2582558520763818,1.1525591984391212,e8_k16_analysis,,
qwen3_vl_32b,lvbench,noop,noop,75,0.0,0.0,0.0,e8_analysis,,
qwen3_vl_32b,lvbench,reversed,evidence_evidence,75,-1.420470605636082,2.830650214517792,22.60375812649727,e8_analysis,,
qwen3_vl_32b,lvbench,reversed,outside_outside,75,0.0560121458978066,0.591347195331166,2.7211277480237186,e8_analysis,,
qwen3_vl_32b,lvbench,slot_swap,evidence_evidence,75,-1.508265756535684,3.125381773274471,20.96737313270569,e8_analysis,,
qwen3_vl_32b,lvbench,slot_swap,outside_outside,75,0.1076862229915801,0.5316115466179674,5.132680171169341,e8_analysis,,
qwen3_vl_32b,lvbench,,boundary_outside,75,-0.0332005903690832,0.4570286731800826,,e8_boundary_offset_analysis,0.060112178325653,0.4533333333333333
qwen3_vl_32b,lvbench,,evidence_boundary,75,-0.609182415707665,1.585190273602174,,e8_boundary_offset_analysis,-0.0442477203905582,0.5066666666666667
qwen3_vl_32b,lvbench,,evidence_evidence,75,-1.7139950867003753,3.65776317422489,,e8_boundary_offset_analysis,-0.0052993297576904,0.5066666666666667
qwen3_vl_32b,lvbench,,evidence_outside,75,-0.1582130904664168,0.9244199578071144,,e8_boundary_offset_analysis,-0.0375262704765191,0.56
qwen3_vl_32b,lvbench,,outside_outside,75,0.1929344639009605,0.4895053143014669,,e8_boundary_offset_analysis,0.020390510559082,0.4666666666666667
qwen3_vl_32b,nextgqa,direct_rgb_png,evidence_evidence,75,-0.0004836874162591,1.2551446577083751,8.834648668768516,e8_direct_rgb_analysis,,
qwen3_vl_32b,nextgqa,direct_rgb_png,outside_outside,75,-0.0097534567925292,0.5126106322236562,3.157467365258988,e8_direct_rgb_analysis,,
qwen3_vl_32b,nextgqa,extra_context,evidence_evidence,50,0.0672907815750208,1.1959609039099983,7.020789973437786,e8_extra_context_analysis,,
qwen3_vl_32b,nextgqa,extra_context,outside_outside,50,0.0667713921663571,0.730810083714139,3.617172527592629,e8_extra_context_analysis,,
qwen3_vl_32b,nextgqa,hard_distractor,evidence_evidence,25,0.3859468758864202,0.8805858879485643,7.626432924997061,e8_hard_distractor_analysis,,
qwen3_vl_32b,nextgqa,hard_distractor,outside_outside,25,0.0088816107150412,0.5361058858674661,2.375381114907213,e8_hard_distractor_analysis,,
qwen3_vl_32b,nextgqa,k16,evidence_evidence,75,-0.191337746170937,0.6878780166755161,9.227482825724564,e8_k16_analysis,,
qwen3_vl_32b,nextgqa,k16,outside_outside,75,0.0123095784099571,0.3549416415477822,3.4859418868841487,e8_k16_analysis,,
qwen3_vl_32b,nextgqa,noop,noop,75,0.0,0.0,0.0,e8_analysis,,
qwen3_vl_32b,nextgqa,reversed,evidence_evidence,75,-0.0607866576050168,1.1369719265470482,6.183949915771336,e8_analysis,,
qwen3_vl_32b,nextgqa,reversed,outside_outside,75,-0.1797175016263284,0.6663482196350987,3.9353480654535815,e8_analysis,,
qwen3_vl_32b,nextgqa,slot_swap,evidence_evidence,75,0.2503281394601792,1.2591092308843896,9.157416909954009,e8_analysis,,
qwen3_vl_32b,nextgqa,slot_swap,outside_outside,75,-0.1071456463360747,0.497788400430896,2.868499768897891,e8_analysis,,
qwen3_vl_32b,nextgqa,,boundary_outside,75,-0.1065391932659628,0.6946612178629539,,e8_boundary_offset_analysis,-0.000192642211914,0.52
qwen3_vl_32b,nextgqa,,evidence_boundary,75,-0.2690707217683999,1.1069668532991124,,e8_boundary_offset_analysis,-0.0002842955291271,0.5066666666666667
qwen3_vl_32b,nextgqa,,evidence_evidence,75,-0.0040123716075528,1.2518055106735018,,e8_boundary_offset_analysis,0.000762939453125,0.4933333333333333
qwen3_vl_32b,nextgqa,,evidence_outside,75,-0.3548641324350415,0.9639318831158076,,e8_boundary_offset_analysis,-0.0413747131824493,0.5733333333333334
qwen3_vl_32b,nextgqa,,outside_outside,75,-0.0186497616102852,0.5105931091580979,,e8_boundary_offset_analysis,-0.0123008510345243,0.5333333333333333
