model,benchmark,robustness_condition,evidence_evidence,outside_outside,evidence_minus_outside_absolute_interaction
qwen3_vl_32b,herbench,hard_distractor,1.006149960958799,0.6681475463156354,0.3380024146431635
qwen3_vl_32b,lvbench,hard_distractor,2.9002017828838063,0.9158613516392154,1.9843404312445907
qwen3_vl_32b,nextgqa,hard_distractor,0.8805858879485643,0.5361058858674661,0.3444800020810982
internvl35_38b,herbench,k16,0.5322270385921002,0.1729809159785509,0.35924612261354927
internvl35_38b,lvbench,k16,0.8673635381974357,0.1347296832612483,0.7326338549361875
internvl35_38b,nextgqa,k16,0.4158701703967684,0.214794602864822,0.2010755675319464
perception_lm_8b,herbench,k16,0.4470907805549601,0.1378161588062842,0.3092746217486759
perception_lm_8b,lvbench,k16,0.6193699332085089,0.1483403931726934,0.47102954003581543
perception_lm_8b,nextgqa,k16,0.4201971924918022,0.2419031699290887,0.1782940225627135
qwen3_vl_32b,herbench,k16,0.7754090713745873,0.2995599790561993,0.47584909231838796
qwen3_vl_32b,lvbench,k16,2.4430954763419868,0.2582558520763818,2.1848396242656047
qwen3_vl_32b,nextgqa,k16,0.6878780166755161,0.3549416415477822,0.3329363751277339
internvl35_38b,herbench,reversed,0.6713411405434211,0.431121554672718,0.24021958587070308
internvl35_38b,lvbench,reversed,1.0991339048553104,0.2368177624850068,0.8623161423703036
internvl35_38b,nextgqa,reversed,0.7434395833417875,0.3365367226554068,0.4069028606863807
perception_lm_8b,herbench,reversed,0.6710770137530441,0.2309706100821495,0.4401064036708946
perception_lm_8b,lvbench,reversed,0.6621908155782148,0.2416516527653827,0.4205391628128321
perception_lm_8b,nextgqa,reversed,0.493338832671155,0.3304466202945999,0.1628922123765551
qwen3_vl_32b,herbench,reversed,1.5703858542824265,0.5757484809934416,0.9946373732889849
qwen3_vl_32b,lvbench,reversed,2.830650214517792,0.591347195331166,2.239303019186626
qwen3_vl_32b,nextgqa,reversed,1.1369719265470482,0.6663482196350987,0.47062370691194944
internvl35_38b,herbench,slot_swap,0.6393433706959089,0.2386124463876088,0.40073092430830004
internvl35_38b,lvbench,slot_swap,0.9549489286297468,0.1773659057045976,0.7775830229251492
internvl35_38b,nextgqa,slot_swap,0.6684478907507219,0.3014923737481876,0.36695551700253426
perception_lm_8b,herbench,slot_swap,0.581267996331056,0.3027416120593746,0.27852638427168136
perception_lm_8b,lvbench,slot_swap,0.7713266011009303,0.2157003902003634,0.555626210900567
perception_lm_8b,nextgqa,slot_swap,0.5385546225454285,0.3348622148790612,0.20369240766636731
qwen3_vl_32b,herbench,slot_swap,1.2454461093968452,0.4422173995474901,0.8032287098493551
qwen3_vl_32b,lvbench,slot_swap,3.125381773274471,0.5316115466179674,2.5937702266565035
qwen3_vl_32b,nextgqa,slot_swap,1.2591092308843896,0.497788400430896,0.7613208304534936
internvl35_38b,herbench,,0.6947017709662517,0.2014881939689318,0.49321357699731994
internvl35_38b,lvbench,,0.9787709499635578,0.1418600698952407,0.8369108800683172
internvl35_38b,nextgqa,,0.6884785198242146,0.2925122902212145,0.3959662296030001
perception_lm_8b,herbench,,0.5605898401886225,0.2745331134895483,0.28605672669907417
perception_lm_8b,lvbench,,0.8039650443427188,0.2079369500266815,0.5960280943160372
perception_lm_8b,nextgqa,,0.502141873984389,0.3129449982559284,0.1891968757284606
qwen3_vl_32b,herbench,,1.0976045315720986,0.4329613303807616,0.664643201191337
qwen3_vl_32b,lvbench,,3.65776317422489,0.4895053143014669,3.1682578599234232
qwen3_vl_32b,nextgqa,,1.2518055106735018,0.5105931091580979,0.7412124015154039
